sign_id,method,k_used,seed,est_lat,est_lon,gt_lat,gt_lon,err_m,hit_1m,hit_2m,n_outliers_detected,outlier_idx,residual_norm,n_iter,assumed_s,fallback_triggered,runtime_ms
0,cosamp,27,0,49.01103617489122,8.4231321126479,49.01104539434144,8.423140296838017,1.1873053838193333,0,1,3,6|7|11,28.241786,,3,0,0.3838
1,cosamp,9,0,49.01100784482587,8.423153741838028,49.0109879397477,8.423173003321457,2.6240694223255767,0,0,3,0|1|8,8.729883,,3,0,0.2662
3,cosamp,16,0,49.00887703633143,8.43950661895474,49.008885085775056,8.43945640100112,3.781371417388025,0,0,3,0|1|15,61.971199,,3,0,0.4807
4,cosamp,16,0,49.00920021558242,8.43994491226325,49.00920024688789,8.439959441211467,1.0629190752148916,0,1,3,1|2|3,10.537415,,3,0,0.3661
7,cosamp,10,0,49.01119472308455,8.439118367755999,49.01120358064679,8.439131158189603,1.3586154143153553,0,1,3,2|7|8,8.207736,,3,0,0.346
9,cosamp,6,0,49.01578418032909,8.436604286468514,49.01577759947758,8.436623187204995,1.564319986774586,0,1,0,,,199,,1,0.8963
10,cosamp,13,0,49.01587040333247,8.436779806708465,49.01586595781392,8.436782367739855,0.5286894228707351,1,1,3,7|11|12,5.921406,,3,0,0.2611
12,cosamp,7,0,49.016569842963854,8.438257193233255,49.016566339086836,8.438267373680977,0.840464155029907,1,1,3,0|5|6,2.477548,,3,0,0.1468
13,cosamp,11,0,49.01745791587577,8.439832112535136,49.01745675169801,8.43984329074997,0.8278308774441929,1,1,3,0|1|2,5.149399,,3,0,0.2473
15,cosamp,14,0,49.02155825613146,8.4458659984353,49.021552817620844,8.445866920345988,0.6085646884356194,1,1,3,2|3|7,10.35006,,3,0,0.2613
16,cosamp,4,0,49.02571964564274,8.448468447096598,49.025731958207764,8.448387961781982,6.043387767793422,0,0,0,,,145,,1,0.6398
17,cosamp,11,0,49.02579581483653,8.44868017912468,49.02578456454105,8.448680103990874,1.2511601002183006,0,1,3,8|9|10,8.437496,,3,0,0.2443
18,cosamp,17,0,49.025826415045195,8.448496703210987,49.025827192605675,8.448449301824292,3.467729106606274,0,0,3,0|10|14,22.249524,,3,0,0.4364
21,cosamp,11,0,49.05390874956557,8.42098417778215,49.053917783943405,8.42093154193582,3.9763280132458325,0,0,3,0|1|4,12.824502,,3,0,0.3613
22,cosamp,4,0,49.0539087428191,8.420983534138397,49.05388720389666,8.420947118828824,3.580835580306735,0,0,0,,,199,,1,0.8655
24,cosamp,8,0,49.05699446587895,8.418656940160025,49.05699793589034,8.418660548370681,0.4674057623039642,1,1,3,0|3|4,1.269008,,3,0,0.2117
25,cosamp,10,0,49.06751262912444,8.400965229489723,49.06749858646056,8.400967016881998,1.5671514751873465,0,1,3,3|5|6,10.657984,,3,0,0.2305
26,cosamp,10,0,49.06751092265091,8.401019254087766,49.067498967657734,8.400967010702349,4.0424632730863435,0,0,3,3|7|9,4.900075,,3,0,0.1874
27,cosamp,10,0,49.067636771925514,8.400884713727217,49.06761751504026,8.400949624845799,5.204284881217122,0,0,3,7|8|9,7.633479,,3,0,0.1749
28,cosamp,8,0,49.03939984689913,8.362489326294774,49.03938883765934,8.36249498880362,1.2924470845745284,0,1,3,0|1|7,0.466875,,3,0,0.2106
29,cosamp,13,0,49.03922276882827,8.362232949479015,49.03923502715589,8.362231377937965,1.368088421322354,0,1,3,0|11|12,10.543175,,3,0,0.194
30,cosamp,11,0,49.03894983302193,8.362290603058645,49.038950655827506,8.362296941495774,0.47238044768155835,1,1,3,8|9|10,7.885002,,3,0,0.1812
31,cosamp,5,0,49.03905679872721,8.362205244677869,49.03905662084125,8.36219852071007,0.4920178363487176,1,1,0,,,14,,1,0.0741
34,cosamp,14,0,49.02572865118903,8.356218025751314,49.02572148660942,8.35622192078498,0.8461647887793878,1,1,3,1|12|13,22.339328,,3,0,0.1965
36,cosamp,18,0,49.02449821900552,8.356186766910746,49.02447760808259,8.356138793759902,4.1909336033623505,0,0,3,5|8|17,13.094764,,3,0,0.316
37,cosamp,18,0,49.02449326373519,8.356155294713647,49.02447806671637,8.356115816624278,3.345537632751697,0,0,3,2|13|17,33.16342,,3,0,0.2496
39,cosamp,26,0,49.03316605077949,8.337107248134847,49.03317670411804,8.337129460746299,2.010440590530197,0,0,3,19|22|25,47.2129,,3,0,0.2926
40,cosamp,7,0,49.016684983620756,8.353341290510114,49.01668975790858,8.353342299304732,0.53605198628303,1,1,3,0|5|6,1.274199,,3,0,0.1972
41,cosamp,5,0,49.016649088068725,8.353209279362192,49.01667389104093,8.353205427482317,2.7726928527925754,0,0,0,,,31,,1,0.156
42,cosamp,12,0,49.016390504377156,8.353171305790385,49.01640132683856,8.353162993425078,1.3484339462080674,0,1,3,0|6|7,11.955997,,3,0,0.2581
43,cosamp,9,0,48.98011177233646,8.404393574503345,48.98010072003008,8.404381512004727,1.51340677651268,0,1,3,2|7|8,3.393726,,3,0,0.2263
