sign_id,method,k_used,seed,est_lat,est_lon,gt_lat,gt_lon,err_m,hit_1m,hit_2m,n_outliers_detected,outlier_idx,outlier_frames,residual_norm,n_iter,assumed_s,fallback_triggered,runtime_ms
0,kmeans,27,0,49.0110325186318,8.42313927348736,49.01104539434144,8.423140296838017,1.4338627521847795,0,1,13,0|2|3|14|16|18|20|21|22|23|24|25|26,2011_09_26_drive_0005_0000000008|2011_09_26_drive_0005_0000000012|2011_09_26_drive_0005_0000000014|2011_09_26_drive_0005_0000000036|2011_09_26_drive_0005_0000000040|2011_09_26_drive_0005_0000000044|2011_09_26_drive_0005_0000000048|2011_09_26_drive_0005_0000000049|2011_09_26_drive_0005_0000000050|2011_09_26_drive_0005_0000000051|2011_09_26_drive_0005_0000000052|2011_09_26_drive_0005_0000000053|2011_09_26_drive_0005_0000000054,,,,0,35.9149
1,kmeans,9,0,49.01101051213666,8.423149914898943,49.0109879397477,8.423173003321457,3.0256179958263654,0,0,3,0|1|2,2011_09_26_drive_0005_0000000044|2011_09_26_drive_0005_0000000046|2011_09_26_drive_0005_0000000048,,,,0,1.3621
3,kmeans,16,0,49.008878395226645,8.439496328238802,49.008885085775056,8.43945640100112,3.014303113908477,0,0,4,0|1|2|3,2011_09_26_drive_0009_0000000125|2011_09_26_drive_0009_0000000127|2011_09_26_drive_0009_0000000129|2011_09_26_drive_0009_0000000131,,,,0,2.4777
4,kmeans,16,0,49.00920073590508,8.439945261986843,49.00920024688789,8.439959441211467,1.0387527727048702,0,1,2,1|2,2011_09_26_drive_0009_0000000245|2011_09_26_drive_0009_0000000247,,,,0,1.4688
7,kmeans,10,0,49.01120288379196,8.439114281968886,49.01120358064679,8.439131158189603,1.2370162777647642,0,1,4,4|5|6|9,2011_09_26_drive_0011_0000000057|2011_09_26_drive_0011_0000000058|2011_09_26_drive_0011_0000000059|2011_09_26_drive_0011_0000000062,,,,0,0.9524
9,kmeans,6,0,49.01578351273673,8.43659981070438,49.01577759947758,8.436623187204995,1.8320532757610126,0,1,3,0|1|2,2011_09_26_drive_0014_0000000043|2011_09_26_drive_0014_0000000044|2011_09_26_drive_0014_0000000045,,,,0,1.446
10,kmeans,13,0,49.015870480101825,8.43678035705876,49.01586595781392,8.436782367739855,0.5239889747955802,1,1,4,3|7|11|12,2011_09_26_drive_0014_0000000056|2011_09_26_drive_0014_0000000060|2011_09_26_drive_0014_0000000064|2011_09_26_drive_0014_0000000065,,,,0,1.4093
12,kmeans,7,0,49.016571456815065,8.43826063977946,49.016566339086836,8.438267373680977,0.7526931730634369,1,1,3,4|5|6,2011_09_26_drive_0014_0000000162|2011_09_26_drive_0014_0000000163|2011_09_26_drive_0014_0000000164,,,,0,1.2603
13,kmeans,11,0,49.01745829078091,8.43983269020749,49.01745675169801,8.43984329074997,0.7940562117154832,1,1,2,0|2,2011_09_26_drive_0014_0000000259|2011_09_26_drive_0014_0000000261,,,,0,0.9241
15,kmeans,14,0,49.02155456772947,8.44586132479156,49.021552817620844,8.445866920345988,0.4531827114506605,1,1,6,0|1|2|4|8|9,2011_09_26_drive_0015_0000000237|2011_09_26_drive_0015_0000000238|2011_09_26_drive_0015_0000000239|2011_09_26_drive_0015_0000000241|2011_09_26_drive_0015_0000000245|2011_09_26_drive_0015_0000000246,,,,0,0.9382
16,kmeans,4,0,49.02572223985044,8.44846746558251,49.025731958207764,8.448387961781982,5.914032966214598,0,0,1,3,2011_09_26_drive_0018_0000000203,,,,0,0.9215
17,kmeans,11,0,49.02579777084155,8.448681067323943,49.02578456454105,8.448680103990874,1.4703646488399345,0,1,3,3|9|10,2011_09_26_drive_0018_0000000203|2011_09_26_drive_0018_0000000210|2011_09_26_drive_0018_0000000211,,,,0,0.9107
18,kmeans,17,0,49.02582189705131,8.44849755204117,49.025827192605675,8.448449301824292,3.5775350035171463,0,0,7,0|10|11|12|13|14|15,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000215|2011_09_26_drive_0018_0000000216|2011_09_26_drive_0018_0000000217|2011_09_26_drive_0018_0000000218|2011_09_26_drive_0018_0000000219|2011_09_26_drive_0018_0000000220,,,,0,1.014
