sign_id,method,k_used,seed,est_lat,est_lon,gt_lat,gt_lon,err_m,hit_1m,hit_2m,n_outliers_detected,outlier_idx,outlier_frames,residual_norm,n_iter,assumed_s,fallback_triggered,runtime_ms
0,l1_sor,27,0,49.01103548088196,8.423133297567304,49.01104539434144,8.423140296838017,1.215579182156785,0,1,2,0|12,2011_09_26_drive_0005_0000000008|2011_09_26_drive_0005_0000000032,5.796105,6,,0,0.3959
1,l1_sor,9,0,49.0110067027145,8.423155774624309,49.0109879397477,8.423173003321457,2.437738586500264,0,0,3,0|1|8,2011_09_26_drive_0005_0000000044|2011_09_26_drive_0005_0000000046|2011_09_26_drive_0005_0000000054,4.557862,11,,0,0.1382
3,l1_sor,16,0,49.00887706862365,8.43950493624985,49.008885085775056,8.43945640100112,3.661005797205906,0,0,12,0|1|2|3|4|5|8|9|12|13|14|15,2011_09_26_drive_0009_0000000125|2011_09_26_drive_0009_0000000127|2011_09_26_drive_0009_0000000129|2011_09_26_drive_0009_0000000131|2011_09_26_drive_0009_0000000133|2011_09_26_drive_0009_0000000135|2011_09_26_drive_0009_0000000141|2011_09_26_drive_0009_0000000143|2011_09_26_drive_0009_0000000149|2011_09_26_drive_0009_0000000151|2011_09_26_drive_0009_0000000153|2011_09_26_drive_0009_0000000155,7.287823,41,,0,1.2513
4,l1_sor,16,0,49.00920227903803,8.439946358087953,49.00920024688789,8.439959441211467,0.9834578809170852,1,1,1,2,2011_09_26_drive_0009_0000000247,4.234613,5,,0,0.3333
7,l1_sor,10,0,49.01119835645103,8.43911716594646,49.01120358064679,8.439131158189603,1.1769935960916316,0,1,0,,,3.574206,3,,0,0.7102
9,l1_sor,6,0,49.01578418032909,8.436604286468514,49.01577759947758,8.436623187204995,1.564319986774586,0,1,0,,,,199,,1,1.5302
10,l1_sor,13,0,49.015869749618766,8.436778002183592,49.01586595781392,8.436782367739855,0.5289555843989615,1,1,0,,,2.175907,2,,0,0.3204
12,l1_sor,7,0,49.01656956708088,8.438256011060261,49.016566339086836,8.438267373680977,0.9053600050833217,1,1,0,,,2.721247,2,,0,0.0873
13,l1_sor,11,0,49.01745954644306,8.439835359328054,49.01745675169801,8.43984329074997,0.6581619037818178,1,1,1,0,2011_09_26_drive_0014_0000000259,3.298527,7,,0,0.2541
15,l1_sor,14,0,49.02155810052645,8.445865337390389,49.021552817620844,8.445866920345988,0.5988119199259667,1,1,1,2,2011_09_26_drive_0015_0000000239,3.87755,6,,0,1.0278
16,l1_sor,4,0,49.02571964564274,8.448468447096598,49.025731958207764,8.448387961781982,6.043387767793422,0,0,0,,,,145,,1,1.0351
17,l1_sor,11,0,49.025794227222704,8.448679685772708,49.02578456454105,8.448680103990874,1.0750243184708481,0,1,0,,,3.599981,2,,0,0.2568
18,l1_sor,17,0,49.02582929218118,8.448495681931412,49.025827192605675,8.448449301824292,3.3999875608963106,0,0,4,0|4|5|14,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000209|2011_09_26_drive_0018_0000000210|2011_09_26_drive_0018_0000000219,5.906477,8,,0,0.4925
21,l1_sor,11,0,49.05391144354821,8.420979020581226,49.053917783943405,8.42093154193582,3.5412565774102647,0,0,3,0|1|10,2011_09_26_drive_0028_0000000182|2011_09_26_drive_0028_0000000183|2011_09_26_drive_0028_0000000192,4.676216,11,,0,0.3713
22,l1_sor,4,0,49.0539087428191,8.420983534138397,49.05388720389666,8.420947118828824,3.580835580306735,0,0,0,,,,199,,1,1.4092
24,l1_sor,8,0,49.05699516138871,8.418656175562575,49.05699793589034,8.418660548370681,0.4442417691410144,1,1,0,,,1.811134,2,,0,0.3578
25,l1_sor,10,0,49.067512468308614,8.400968388208543,49.06749858646056,8.400967016881998,1.5470635572198486,0,1,4,3|4|5|6,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000172|2011_09_26_drive_0029_0000000174|2011_09_26_drive_0029_0000000176,5.038579,10,,0,1.4788
26,l1_sor,10,0,49.06751096064669,8.40101726626189,49.067498967657734,8.400967010702349,3.9070206956818634,0,0,3,3|7|9,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000179|2011_09_26_drive_0029_0000000183,4.420889,11,,0,1.5383
27,l1_sor,10,0,49.06763441450287,8.400891540927283,49.06761751504026,8.400949624845799,4.6418375892391355,0,0,4,1|7|8|9,2011_09_26_drive_0029_0000000166|2011_09_26_drive_0029_0000000179|2011_09_26_drive_0029_0000000181|2011_09_26_drive_0029_0000000183,4.738423,14,,0,1.5715
28,l1_sor,8,0,49.03939668554801,8.362489052195619,49.03938883765934,8.36249498880362,0.974742209927641,1,1,1,0,2011_09_26_drive_0032_0000000213,3.168772,8,,0,0.596
29,l1_sor,13,0,49.03922397767247,8.362233616607368,49.03923502715589,8.362231377937965,1.2396716401971357,0,1,2,0|12,2011_09_26_drive_0032_0000000222|2011_09_26_drive_0032_0000000246,4.47405,7,,0,0.3109
30,l1_sor,11,0,49.0389536365584,8.362289845319712,49.038950655827506,8.362296941495774,0.6156901102640597,1,1,0,,,3.678472,3,,0,0.2613
31,l1_sor,5,0,49.03905679872721,8.362205244677869,49.03905662084125,8.36219852071007,0.4920178363487176,1,1,0,,,,14,,1,0.1141
34,l1_sor,14,0,49.02572954597227,8.356216652266442,49.02572148660942,8.35622192078498,0.9755956717682746,1,1,6,0|1|3|11|12|13,2011_09_26_drive_0036_0000000014|2011_09_26_drive_0036_0000000015|2011_09_26_drive_0036_0000000017|2011_09_26_drive_0036_0000000025|2011_09_26_drive_0036_0000000026|2011_09_26_drive_0036_0000000027,6.069408,15,,0,1.5989
36,l1_sor,18,0,49.02449796143072,8.356186241932013,49.02447760808259,8.356138793759902,4.143124609403267,0,0,0,,,4.141038,2,,0,0.3243
37,l1_sor,18,0,49.02449407505934,8.356156939845393,49.02447806671637,8.356115816624278,3.4949966278519633,0,0,9,0|1|2|8|9|12|13|16|17,2011_09_26_drive_0036_0000000270|2011_09_26_drive_0036_0000000271|2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000278|2011_09_26_drive_0036_0000000279|2011_09_26_drive_0036_0000000282|2011_09_26_drive_0036_0000000283|2011_09_26_drive_0036_0000000287|2011_09_26_drive_0036_0000000288,6.629648,15,,0,0.4359
39,l1_sor,26,0,49.033166670028585,8.337108856797833,49.03317670411804,8.337129460746299,1.874871885848186,0,1,10,4|5|7|8|11|19|21|23|24|25,2011_09_26_drive_0046_0000000049|2011_09_26_drive_0046_0000000050|2011_09_26_drive_0046_0000000052|2011_09_26_drive_0046_0000000053|2011_09_26_drive_0046_0000000056|2011_09_26_drive_0046_0000000064|2011_09_26_drive_0046_0000000067|2011_09_26_drive_0046_0000000071|2011_09_26_drive_0046_0000000073|2011_09_26_drive_0046_0000000075,8.310458,15,,0,1.6528
40,l1_sor,7,0,49.01668576807101,8.353340625273498,49.01668975790858,8.353342299304732,0.4602965012842806,1,1,0,,,2.620576,2,,0,0.3943
