sign_id,method,k_used,seed,est_lat,est_lon,gt_lat,gt_lon,err_m,hit_1m,hit_2m,n_outliers_detected,outlier_idx,outlier_frames,residual_norm,n_iter,assumed_s,fallback_triggered,runtime_ms
0,omp,27,0,49.01103582953787,8.423132845362522,49.01104539434144,8.423140296838017,1.1952461773418006,0,1,3,6|7|16,2011_09_26_drive_0005_0000000020|2011_09_26_drive_0005_0000000022|2011_09_26_drive_0005_0000000040,27.854579,,3,0,0.5745
1,omp,9,0,49.01101051213666,8.423149914898943,49.0109879397477,8.423173003321457,3.0256179958263654,0,0,3,0|1|2,2011_09_26_drive_0005_0000000044|2011_09_26_drive_0005_0000000046|2011_09_26_drive_0005_0000000048,3.929917,,3,0,0.201
3,omp,16,0,49.00887577044434,8.439514999805784,49.008885085775056,8.43945640100112,4.410410892641511,0,0,3,1|13|15,2011_09_26_drive_0009_0000000127|2011_09_26_drive_0009_0000000151|2011_09_26_drive_0009_0000000155,62.353887,,3,0,0.216
4,omp,16,0,49.00920059787776,8.439945046822627,49.00920024688789,8.439959441211467,1.0537924018121134,0,1,3,1|2|9,2011_09_26_drive_0009_0000000245|2011_09_26_drive_0009_0000000247|2011_09_26_drive_0009_0000000257,10.486796,,3,0,0.1884
7,omp,10,0,49.01120176830862,8.439115045815509,49.01120358064679,8.439131158189603,1.1958144978617573,0,1,3,4|5|9,2011_09_26_drive_0011_0000000057|2011_09_26_drive_0011_0000000058|2011_09_26_drive_0011_0000000062,5.398745,,3,0,0.1713
9,omp,6,0,49.01578418032909,8.436604286468514,49.01577759947758,8.436623187204995,1.564319986774586,0,1,0,,,,199,,1,0.9565
10,omp,13,0,49.01586998826447,8.4367783206944,49.01586595781392,8.436782367739855,0.5371629974211279,1,1,3,6|8|11,2011_09_26_drive_0014_0000000059|2011_09_26_drive_0014_0000000061|2011_09_26_drive_0014_0000000064,6.429553,,3,0,0.1791
12,omp,7,0,49.016571456815065,8.43826063977946,49.016566339086836,8.438267373680977,0.7526931730634369,1,1,3,4|5|6,2011_09_26_drive_0014_0000000162|2011_09_26_drive_0014_0000000163|2011_09_26_drive_0014_0000000164,3.3762,,3,0,0.1334
13,omp,11,0,49.017458012416014,8.43983216521847,49.01745675169801,8.43984329074997,0.8257798497085759,1,1,3,0|2|3,2011_09_26_drive_0014_0000000259|2011_09_26_drive_0014_0000000261|2011_09_26_drive_0014_0000000262,3.536673,,3,0,0.1587
15,omp,14,0,49.02155961453641,8.445867439616087,49.021552817620844,8.445866920345988,0.7568395784922967,1,1,3,3|7|11,2011_09_26_drive_0015_0000000240|2011_09_26_drive_0015_0000000244|2011_09_26_drive_0015_0000000248,6.329208,,3,0,0.1892
16,omp,4,0,49.02571964564274,8.448468447096598,49.025731958207764,8.448387961781982,6.043387767793422,0,0,0,,,,145,,1,0.7094
17,omp,11,0,49.02579338337203,8.448679119997797,49.02578456454105,8.448680103990874,0.9833809462831431,1,1,3,7|8|9,2011_09_26_drive_0018_0000000208|2011_09_26_drive_0018_0000000209|2011_09_26_drive_0018_0000000210,8.762912,,3,0,0.1573
18,omp,17,0,49.025826415045195,8.448496703210987,49.025827192605675,8.448449301824292,3.467729106606274,0,0,3,0|10|14,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000215|2011_09_26_drive_0018_0000000219,22.249524,,3,0,0.1985
21,omp,11,0,49.053912282375,8.420976713450498,49.053917783943405,8.42093154193582,3.357922050628278,0,0,3,0|2|10,2011_09_26_drive_0028_0000000182|2011_09_26_drive_0028_0000000184|2011_09_26_drive_0028_0000000192,12.900275,,3,0,0.1607
22,omp,4,0,49.0539087428191,8.420983534138397,49.05388720389666,8.420947118828824,3.580835580306735,0,0,0,,,,199,,1,0.9857
24,omp,8,0,49.05699319759105,8.418657100305326,49.05699793589034,8.418660548370681,0.5841123028887507,1,1,3,0|5|7,2011_09_26_drive_0028_0000000400|2011_09_26_drive_0028_0000000405|2011_09_26_drive_0028_0000000407,0.85043,,3,0,0.2037
25,omp,10,0,49.06751236169168,8.400971129917949,49.06749858646056,8.400967016881998,1.5611617314012707,0,1,3,3|4|6,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000172|2011_09_26_drive_0029_0000000176,9.942815,,3,0,0.1852
