sign_id,method,k_used,seed,est_lat,est_lon,gt_lat,gt_lon,err_m,hit_1m,hit_2m,n_outliers_detected,outlier_idx,outlier_frames,residual_norm,n_iter,assumed_s,fallback_triggered,runtime_ms
0,sp,27,0,49.01103617489122,8.4231321126479,49.01104539434144,8.423140296838017,1.1873053838193333,0,1,3,6|7|11,2011_09_26_drive_0005_0000000020|2011_09_26_drive_0005_0000000022|2011_09_26_drive_0005_0000000030,28.241786,,3,0,0.6361
1,sp,9,0,49.01101051213666,8.423149914898943,49.0109879397477,8.423173003321457,3.0256179958263654,0,0,3,0|1|2,2011_09_26_drive_0005_0000000044|2011_09_26_drive_0005_0000000046|2011_09_26_drive_0005_0000000048,3.929917,,3,0,0.4438
3,sp,16,0,49.00887788571855,8.439500089814892,49.008885085775056,8.43945640100112,3.294992208742784,0,0,3,0|1|2,2011_09_26_drive_0009_0000000125|2011_09_26_drive_0009_0000000127|2011_09_26_drive_0009_0000000129,58.721634,,3,0,0.3735
4,sp,16,0,49.00920013224133,8.4399450028395,49.00920024688789,8.439959441211467,1.0563639137790202,0,1,3,0|1|2,2011_09_26_drive_0009_0000000243|2011_09_26_drive_0009_0000000245|2011_09_26_drive_0009_0000000247,10.824952,,3,0,0.7565
7,sp,10,0,49.01119931538168,8.439116052963252,49.01120358064679,8.439131158189603,1.2025334238156513,0,1,3,4|5|8,2011_09_26_drive_0011_0000000057|2011_09_26_drive_0011_0000000058|2011_09_26_drive_0011_0000000061,7.740797,,3,0,0.4054
9,sp,6,0,49.01578418032909,8.436604286468514,49.01577759947758,8.436623187204995,1.564319986774586,0,1,0,,,,199,,1,1.2043
10,sp,13,0,49.01586971266671,8.436777792985302,49.01586595781392,8.436782367739855,0.5351191698239384,1,1,3,0|8|11,2011_09_26_drive_0014_0000000053|2011_09_26_drive_0014_0000000061|2011_09_26_drive_0014_0000000064,6.055835,,3,0,0.2859
12,sp,7,0,49.01656881624546,8.438254581102056,49.016566339086836,8.438267373680977,0.9754544981941119,1,1,3,0|2|5,2011_09_26_drive_0014_0000000158|2011_09_26_drive_0014_0000000160|2011_09_26_drive_0014_0000000163,3.303982,,3,0,0.1662
13,sp,11,0,49.017458012416014,8.43983216521847,49.01745675169801,8.43984329074997,0.8257798497085759,1,1,3,0|2|3,2011_09_26_drive_0014_0000000259|2011_09_26_drive_0014_0000000261|2011_09_26_drive_0014_0000000262,3.536673,,3,0,0.2307
15,sp,14,0,49.021558893003494,8.44586612292211,49.021552817620844,8.445866920345988,0.6781569238336812,1,1,3,7|8|11,2011_09_26_drive_0015_0000000244|2011_09_26_drive_0015_0000000245|2011_09_26_drive_0015_0000000248,7.309458,,3,0,0.552
16,sp,4,0,49.02571964564274,8.448468447096598,49.025731958207764,8.448387961781982,6.043387767793422,0,0,0,,,,145,,1,0.8412
17,sp,11,0,49.025791045116094,8.448678137989589,49.02578456454105,8.448680103990874,0.7349086294070424,1,1,3,6|7|8,2011_09_26_drive_0018_0000000207|2011_09_26_drive_0018_0000000208|2011_09_26_drive_0018_0000000209,7.218993,,3,0,0.2813
18,sp,17,0,49.02582860353385,8.448495971529747,49.025827192605675,8.448449301824292,3.416744803792812,0,0,3,0|5|12,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000210|2011_09_26_drive_0018_0000000217,21.459541,,3,0,0.2807
21,sp,11,0,49.053912282375,8.420976713450498,49.053917783943405,8.42093154193582,3.357922050628278,0,0,3,0|2|10,2011_09_26_drive_0028_0000000182|2011_09_26_drive_0028_0000000184|2011_09_26_drive_0028_0000000192,12.900275,,3,0,0.1693
22,sp,4,0,49.0539087428191,8.420983534138397,49.05388720389666,8.420947118828824,3.580835580306735,0,0,0,,,,199,,1,0.9805
