sign_id,method,k_used,seed,est_lat,est_lon,gt_lat,gt_lon,err_m,hit_1m,hit_2m,n_outliers_detected,outlier_idx,outlier_frames,residual_norm,n_iter,assumed_s,fallback_triggered,runtime_ms
0,src,27,0,49.01103553288073,8.423133194024857,49.01104539434144,8.423140296838017,1.2135608217333622,0,1,1,0,2011_09_26_drive_0005_0000000008,6.195724,5,,0,0.3964
1,src,9,0,49.01100543567903,8.423156771515284,49.0109879397477,8.423173003321457,2.279444586480654,0,0,2,0|1,2011_09_26_drive_0005_0000000044|2011_09_26_drive_0005_0000000046,5.600899,10,,0,0.1034
3,src,16,0,49.00887531992152,8.439504986384838,49.008885085775056,8.43945640100112,3.716668316415875,0,0,12,0|1|2|3|4|5|8|9|12|13|14|15,2011_09_26_drive_0009_0000000125|2011_09_26_drive_0009_0000000127|2011_09_26_drive_0009_0000000129|2011_09_26_drive_0009_0000000131|2011_09_26_drive_0009_0000000133|2011_09_26_drive_0009_0000000135|2011_09_26_drive_0009_0000000141|2011_09_26_drive_0009_0000000143|2011_09_26_drive_0009_0000000149|2011_09_26_drive_0009_0000000151|2011_09_26_drive_0009_0000000153|2011_09_26_drive_0009_0000000155,8.623831,41,,0,1.1368
4,src,16,0,49.00920259504492,8.439946580455151,49.00920024688789,8.439959441211467,0.9764383898351714,1,1,1,2,2011_09_26_drive_0009_0000000247,4.71154,5,,0,0.3215
7,src,10,0,49.01119835645103,8.43911716594646,49.01120358064679,8.439131158189603,1.1769935960916316,0,1,0,,,3.574206,2,,0,0.699
9,src,6,0,49.01578418032909,8.436604286468514,49.01577759947758,8.436623187204995,1.564319986774586,0,1,0,,,,199,,1,0.9408
10,src,13,0,49.015869749618766,8.436778002183592,49.01586595781392,8.436782367739855,0.5289555843989615,1,1,0,,,2.175907,2,,0,0.1902
12,src,7,0,49.01656956708088,8.438256011060261,49.016566339086836,8.438267373680977,0.9053600050833217,1,1,0,,,2.721247,2,,0,0.049
13,src,11,0,49.017460039495525,8.439835369787065,49.01745675169801,8.43984329074997,0.68511373326822,1,1,1,0,2011_09_26_drive_0014_0000000259,3.580028,7,,0,0.1508
15,src,14,0,49.02155821934188,8.445865471019564,49.021552817620844,8.445866920345988,0.6100072697056773,1,1,0,,,4.073086,3,,0,0.6562
16,src,4,0,49.02571964564274,8.448468447096598,49.025731958207764,8.448387961781982,6.043387767793422,0,0,0,,,,145,,1,0.6864
17,src,11,0,49.025794227222704,8.448679685772708,49.02578456454105,8.448680103990874,1.0750243184708481,0,1,0,,,3.599981,2,,0,0.1609
18,src,17,0,49.025829284311385,8.44849548516716,49.025827192605675,8.448449301824292,3.385571285420729,0,0,4,0|4|5|14,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000209|2011_09_26_drive_0018_0000000210|2011_09_26_drive_0018_0000000219,6.002406,8,,0,0.3113
21,src,11,0,49.05391199964019,8.4209785904382,49.053917783943405,8.42093154193582,3.4985538726255565,0,0,3,0|1|10,2011_09_26_drive_0028_0000000182|2011_09_26_drive_0028_0000000183|2011_09_26_drive_0028_0000000192,5.727527,10,,0,0.2146
22,src,4,0,49.0539087428191,8.420983534138397,49.05388720389666,8.420947118828824,3.580835580306735,0,0,0,,,,199,,1,0.9395
24,src,8,0,49.05699516138871,8.418656175562575,49.05699793589034,8.418660548370681,0.4442417691410144,1,1,0,,,1.811134,2,,0,0.2357
25,src,10,0,49.067512438513816,8.400968385954089,49.06749858646056,8.400967016881998,1.5437463341732622,0,1,4,3|4|5|6,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000172|2011_09_26_drive_0029_0000000174|2011_09_26_drive_0029_0000000176,5.182047,10,,0,0.9623
26,src,10,0,49.06751092159289,8.401017250802727,49.067498967657734,8.400967010702349,3.904478005786089,0,0,3,3|7|9,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000179|2011_09_26_drive_0029_0000000183,4.484292,11,,0,1.0045
27,src,10,0,49.06763292821123,8.40089219880527,49.06761751504026,8.400949624845799,4.5328700509728925,0,0,4,1|7|8|9,2011_09_26_drive_0029_0000000166|2011_09_26_drive_0029_0000000179|2011_09_26_drive_0029_0000000181|2011_09_26_drive_0029_0000000183,5.874583,14,,0,1.0131
28,src,8,0,49.039396584002645,8.362488529405391,49.03938883765934,8.36249498880362,0.9824359450599307,1,1,1,0,2011_09_26_drive_0032_0000000213,3.316775,8,,0,0.3774
29,src,13,0,49.039223864765994,8.362233494160098,49.03923502715589,8.362231377937965,1.2509803794623737,0,1,1,0,2011_09_26_drive_0032_0000000222,4.701384,5,,0,0.1828
30,src,11,0,49.0389536365584,8.362289845319712,49.038950655827506,8.362296941495774,0.6156901102640597,1,1,0,,,3.678472,3,,0,0.1701
31,src,5,0,49.03905679872721,8.362205244677869,49.03905662084125,8.36219852071007,0.4920178363487176,1,1,0,,,,14,,1,0.0781
34,src,14,0,49.0257297637021,8.356216567243804,49.02572148660942,8.35622192078498,1.0003041865745566,0,1,4,0|1|12|13,2011_09_26_drive_0036_0000000014|2011_09_26_drive_0036_0000000015|2011_09_26_drive_0036_0000000026|2011_09_26_drive_0036_0000000027,7.345079,10,,0,1.0106
36,src,18,0,49.02449796143072,8.356186241932013,49.02447760808259,8.356138793759902,4.143124609403267,0,0,0,,,4.141038,2,,0,0.2161
37,src,18,0,49.02449424593978,8.356157080416375,49.02447806671637,8.356115816624278,3.5135413720721305,0,0,9,0|1|2|8|9|12|13|16|17,2011_09_26_drive_0036_0000000270|2011_09_26_drive_0036_0000000271|2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000278|2011_09_26_drive_0036_0000000279|2011_09_26_drive_0036_0000000282|2011_09_26_drive_0036_0000000283|2011_09_26_drive_0036_0000000287|2011_09_26_drive_0036_0000000288,7.150655,15,,0,0.2513
39,src,26,0,49.03316692593736,8.337108826856374,49.03317670411804,8.337129460746299,1.859849587147054,0,1,10,4|5|7|8|11|19|21|23|24|25,2011_09_26_drive_0046_0000000049|2011_09_26_drive_0046_0000000050|2011_09_26_drive_0046_0000000052|2011_09_26_drive_0046_0000000053|2011_09_26_drive_0046_0000000056|2011_09_26_drive_0046_0000000064|2011_09_26_drive_0046_0000000067|2011_09_26_drive_0046_0000000071|2011_09_26_drive_0046_0000000073|2011_09_26_drive_0046_0000000075,8.604089,14,,0,1.0704
