sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
0,0.0,27,0,,,2,0|12,2011_09_26_drive_0005_0000000008|2011_09_26_drive_0005_0000000032,0.0,1.0,1.216,0
1,0.0,9,0,,,3,0|1|8,2011_09_26_drive_0005_0000000044|2011_09_26_drive_0005_0000000046|2011_09_26_drive_0005_0000000054,0.0,1.0,2.438,0
3,0.0,16,0,,,12,0|1|2|3|4|5|8|9|12|13|14|15,2011_09_26_drive_0009_0000000125|2011_09_26_drive_0009_0000000127|2011_09_26_drive_0009_0000000129|2011_09_26_drive_0009_0000000131|2011_09_26_drive_0009_0000000133|2011_09_26_drive_0009_0000000135|2011_09_26_drive_0009_0000000141|2011_09_26_drive_0009_0000000143|2011_09_26_drive_0009_0000000149|2011_09_26_drive_0009_0000000151|2011_09_26_drive_0009_0000000153|2011_09_26_drive_0009_0000000155,0.0,1.0,3.661,0
4,0.0,16,0,,,1,2,2011_09_26_drive_0009_0000000247,0.0,1.0,0.983,0
7,0.0,10,0,,,0,,,1.0,1.0,1.177,0
10,0.0,13,0,,,0,,,1.0,1.0,0.529,0
12,0.0,7,0,,,0,,,1.0,1.0,0.905,0
13,0.0,11,0,,,1,0,2011_09_26_drive_0014_0000000259,0.0,1.0,0.658,0
15,0.0,14,0,,,1,2,2011_09_26_drive_0015_0000000239,0.0,1.0,0.599,0
17,0.0,11,0,,,0,,,1.0,1.0,1.075,0
18,0.0,17,0,,,4,0|4|5|14,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000209|2011_09_26_drive_0018_0000000210|2011_09_26_drive_0018_0000000219,0.0,1.0,3.4,0
21,0.0,11,0,,,3,0|1|10,2011_09_26_drive_0028_0000000182|2011_09_26_drive_0028_0000000183|2011_09_26_drive_0028_0000000192,0.0,1.0,3.541,0
24,0.0,8,0,,,0,,,1.0,1.0,0.444,0
25,0.0,10,0,,,4,3|4|5|6,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000172|2011_09_26_drive_0029_0000000174|2011_09_26_drive_0029_0000000176,0.0,1.0,1.547,0
26,0.0,10,0,,,3,3|7|9,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000179|2011_09_26_drive_0029_0000000183,0.0,1.0,3.907,0
27,0.0,10,0,,,4,1|7|8|9,2011_09_26_drive_0029_0000000166|2011_09_26_drive_0029_0000000179|2011_09_26_drive_0029_0000000181|2011_09_26_drive_0029_0000000183,0.0,1.0,4.642,0
28,0.0,8,0,,,1,0,2011_09_26_drive_0032_0000000213,0.0,1.0,0.975,0
29,0.0,13,0,,,2,0|12,2011_09_26_drive_0032_0000000222|2011_09_26_drive_0032_0000000246,0.0,1.0,1.24,0
30,0.0,11,0,,,0,,,1.0,1.0,0.616,0
34,0.0,14,0,,,6,0|1|3|11|12|13,2011_09_26_drive_0036_0000000014|2011_09_26_drive_0036_0000000015|2011_09_26_drive_0036_0000000017|2011_09_26_drive_0036_0000000025|2011_09_26_drive_0036_0000000026|2011_09_26_drive_0036_0000000027,0.0,1.0,0.976,0
36,0.0,18,0,,,0,,,1.0,1.0,4.143,0
37,0.0,18,0,,,9,0|1|2|8|9|12|13|16|17,2011_09_26_drive_0036_0000000270|2011_09_26_drive_0036_0000000271|2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000278|2011_09_26_drive_0036_0000000279|2011_09_26_drive_0036_0000000282|2011_09_26_drive_0036_0000000283|2011_09_26_drive_0036_0000000287|2011_09_26_drive_0036_0000000288,0.0,1.0,3.495,0
39,0.0,26,0,,,10,4|5|7|8|11|19|21|23|24|25,2011_09_26_drive_0046_0000000049|2011_09_26_drive_0046_0000000050|2011_09_26_drive_0046_0000000052|2011_09_26_drive_0046_0000000053|2011_09_26_drive_0046_0000000056|2011_09_26_drive_0046_0000000064|2011_09_26_drive_0046_0000000067|2011_09_26_drive_0046_0000000071|2011_09_26_drive_0046_0000000073|2011_09_26_drive_0046_0000000075,0.0,1.0,1.875,0
40,0.0,7,0,,,0,,,1.0,1.0,0.46,0
42,0.0,12,0,,,1,0,2011_09_26_drive_0051_0000000141,0.0,1.0,1.585,0
43,0.0,9,0,,,0,,,1.0,1.0,1.543,0
45,0.0,13,0,,,0,,,1.0,1.0,0.35,0
46,0.0,15,0,,,0,,,1.0,1.0,0.701,0
47,0.0,19,0,,,8,1|2|3|4|5|6|13|15,2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000009|2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000013|2011_09_26_drive_0059_0000000015|2011_09_26_drive_0059_0000000016|2011_09_26_drive_0059_0000000030|2011_09_26_drive_0059_0000000034,0.0,1.0,0.116,0
48,0.0,19,0,,,9,0|1|2|3|5|15|16|17|18,2011_09_26_drive_0059_0000000006|2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000009|2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000015|2011_09_26_drive_0059_0000000034|2011_09_26_drive_0059_0000000036|2011_09_26_drive_0059_0000000038|2011_09_26_drive_0059_0000000040,0.0,1.0,1.355,0
49,0.0,13,0,,,4,7|10|11|12,2011_09_26_drive_0059_0000000068|2011_09_26_drive_0059_0000000074|2011_09_26_drive_0059_0000000076|2011_09_26_drive_0059_0000000078,0.0,1.0,0.725,0
50,0.0,13,0,,,0,,,1.0,1.0,0.703,0
51,0.0,13,0,,,0,,,1.0,1.0,1.358,0
52,0.0,11,0,,,0,,,1.0,1.0,3.444,0
54,0.0,13,0,,,0,,,1.0,1.0,0.345,0
58,0.0,33,0,,,6,1|2|4|10|22|32,2011_09_26_drive_0064_0000000395|2011_09_26_drive_0064_0000000396|2011_09_26_drive_0064_0000000398|2011_09_26_drive_0064_0000000404|2011_09_26_drive_0064_0000000416|2011_09_26_drive_0064_0000000426,0.0,1.0,3.807,0
63,0.0,7,0,,,3,0|4|6,2011_09_26_drive_0070_0000000351|2011_09_26_drive_0070_0000000355|2011_09_26_drive_0070_0000000357,0.0,1.0,3.076,0
64,0.0,10,0,,,0,,,1.0,1.0,6.455,0
67,0.0,18,0,,,1,17,2011_09_26_drive_0091_0000000136,0.0,1.0,0.484,0
68,0.0,16,0,,,2,5|7,2011_09_26_drive_0091_0000000140|2011_09_26_drive_0091_0000000144,0.0,1.0,6.041,0
69,0.0,10,0,,,1,1,2011_09_26_drive_0091_0000000324,0.0,1.0,0.702,0
70,0.0,11,0,,,8,0|1|2|3|7|8|9|10,2011_09_26_drive_0093_0000000133|2011_09_26_drive_0093_0000000134|2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000136|2011_09_26_drive_0093_0000000140|2011_09_26_drive_0093_0000000141|2011_09_26_drive_0093_0000000142|2011_09_26_drive_0093_0000000143,0.0,1.0,3.254,0
71,0.0,12,0,,,8,0|1|2|3|8|9|10|11,2011_09_26_drive_0093_0000000133|2011_09_26_drive_0093_0000000134|2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000136|2011_09_26_drive_0093_0000000141|2011_09_26_drive_0093_0000000142|2011_09_26_drive_0093_0000000143|2011_09_26_drive_0093_0000000144,0.0,1.0,1.467,0
72,0.0,26,0,,,24,0|1|2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|20|21|22|23|24|25,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374|2011_09_26_drive_0093_0000000375|2011_09_26_drive_0093_0000000376|2011_09_26_drive_0093_0000000377|2011_09_26_drive_0093_0000000378|2011_09_26_drive_0093_0000000379|2011_09_26_drive_0093_0000000380|2011_09_26_drive_0093_0000000381,0.0,1.0,14.788,0
73,0.0,17,0,,,15,0|1|2|3|4|5|6|7|9|11|12|13|14|15|16,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372,0.0,1.0,12.43,0
75,0.0,19,0,,,18,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|16|17|18,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374,0.0,1.0,12.027,0
76,0.0,19,0,,,18,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|16|17|18,2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374|2011_09_26_drive_0093_0000000375|2011_09_26_drive_0093_0000000376|2011_09_26_drive_0093_0000000377|2011_09_26_drive_0093_0000000378,0.0,1.0,11.884,0
81,0.0,7,0,,,4,0|1|5|6,2011_09_26_drive_0101_0000000426|2011_09_26_drive_0101_0000000427|2011_09_26_drive_0101_0000000431|2011_09_26_drive_0101_0000000432,0.0,1.0,0.578,0
84,0.0,8,0,,,4,0|3|6|7,2011_09_26_drive_0101_0000000744|2011_09_26_drive_0101_0000000747|2011_09_26_drive_0101_0000000750|2011_09_26_drive_0101_0000000751,0.0,1.0,2.505,0
87,0.0,19,0,,,6,0|1|9|16|17|18,2011_09_26_drive_0104_0000000016|2011_09_26_drive_0104_0000000017|2011_09_26_drive_0104_0000000025|2011_09_26_drive_0104_0000000032|2011_09_26_drive_0104_0000000033|2011_09_26_drive_0104_0000000034,0.0,1.0,0.703,0
88,0.0,19,0,,,3,5|6|18,2011_09_26_drive_0104_0000000021|2011_09_26_drive_0104_0000000022|2011_09_26_drive_0104_0000000034,0.0,1.0,0.771,0
89,0.0,12,0,,,2,0|11,2011_09_26_drive_0104_0000000016|2011_09_26_drive_0104_0000000027,0.0,1.0,13.63,0
