sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
0,0.0,27,0,,,3,6|7|16,2011_09_26_drive_0005_0000000020|2011_09_26_drive_0005_0000000022|2011_09_26_drive_0005_0000000040,0.0,1.0,1.195,0
1,0.0,9,0,,,3,0|1|2,2011_09_26_drive_0005_0000000044|2011_09_26_drive_0005_0000000046|2011_09_26_drive_0005_0000000048,0.0,1.0,3.026,0
3,0.0,16,0,,,3,1|13|15,2011_09_26_drive_0009_0000000127|2011_09_26_drive_0009_0000000151|2011_09_26_drive_0009_0000000155,0.0,1.0,4.41,0
4,0.0,16,0,,,3,1|2|9,2011_09_26_drive_0009_0000000245|2011_09_26_drive_0009_0000000247|2011_09_26_drive_0009_0000000257,0.0,1.0,1.054,0
7,0.0,10,0,,,3,4|5|9,2011_09_26_drive_0011_0000000057|2011_09_26_drive_0011_0000000058|2011_09_26_drive_0011_0000000062,0.0,1.0,1.196,0
10,0.0,13,0,,,3,6|8|11,2011_09_26_drive_0014_0000000059|2011_09_26_drive_0014_0000000061|2011_09_26_drive_0014_0000000064,0.0,1.0,0.537,0
12,0.0,7,0,,,3,4|5|6,2011_09_26_drive_0014_0000000162|2011_09_26_drive_0014_0000000163|2011_09_26_drive_0014_0000000164,0.0,1.0,0.753,0
13,0.0,11,0,,,3,0|2|3,2011_09_26_drive_0014_0000000259|2011_09_26_drive_0014_0000000261|2011_09_26_drive_0014_0000000262,0.0,1.0,0.826,0
15,0.0,14,0,,,3,3|7|11,2011_09_26_drive_0015_0000000240|2011_09_26_drive_0015_0000000244|2011_09_26_drive_0015_0000000248,0.0,1.0,0.757,0
17,0.0,11,0,,,3,7|8|9,2011_09_26_drive_0018_0000000208|2011_09_26_drive_0018_0000000209|2011_09_26_drive_0018_0000000210,0.0,1.0,0.983,0
18,0.0,17,0,,,3,0|10|14,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000215|2011_09_26_drive_0018_0000000219,0.0,1.0,3.468,0
21,0.0,11,0,,,3,0|2|10,2011_09_26_drive_0028_0000000182|2011_09_26_drive_0028_0000000184|2011_09_26_drive_0028_0000000192,0.0,1.0,3.358,0
24,0.0,8,0,,,3,0|5|7,2011_09_26_drive_0028_0000000400|2011_09_26_drive_0028_0000000405|2011_09_26_drive_0028_0000000407,0.0,1.0,0.584,0
25,0.0,10,0,,,3,3|4|6,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000172|2011_09_26_drive_0029_0000000176,0.0,1.0,1.561,0
26,0.0,10,0,,,3,3|7|9,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000179|2011_09_26_drive_0029_0000000183,0.0,1.0,4.042,0
27,0.0,10,0,,,3,1|5|9,2011_09_26_drive_0029_0000000166|2011_09_26_drive_0029_0000000174|2011_09_26_drive_0029_0000000183,0.0,1.0,4.234,0
28,0.0,8,0,,,3,0|1|7,2011_09_26_drive_0032_0000000213|2011_09_26_drive_0032_0000000215|2011_09_26_drive_0032_0000000226,0.0,1.0,1.292,0
29,0.0,13,0,,,3,0|11|12,2011_09_26_drive_0032_0000000222|2011_09_26_drive_0032_0000000244|2011_09_26_drive_0032_0000000246,0.0,1.0,1.368,0
30,0.0,11,0,,,3,2|9|10,2011_09_26_drive_0032_0000000262|2011_09_26_drive_0032_0000000270|2011_09_26_drive_0032_0000000271,0.0,1.0,0.507,0
34,0.0,14,0,,,3,1|11|13,2011_09_26_drive_0036_0000000015|2011_09_26_drive_0036_0000000025|2011_09_26_drive_0036_0000000027,0.0,1.0,0.899,0
36,0.0,18,0,,,3,2|5|8,2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000275|2011_09_26_drive_0036_0000000278,0.0,1.0,4.237,0
37,0.0,18,0,,,3,2|16|17,2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000287|2011_09_26_drive_0036_0000000288,0.0,1.0,3.12,0
39,0.0,26,0,,,3,19|21|22,2011_09_26_drive_0046_0000000064|2011_09_26_drive_0046_0000000067|2011_09_26_drive_0046_0000000069,0.0,1.0,1.96,0
40,0.0,7,0,,,3,4|5|6,2011_09_26_drive_0051_0000000123|2011_09_26_drive_0051_0000000124|2011_09_26_drive_0051_0000000126,0.0,1.0,0.841,0
42,0.0,12,0,,,3,0|6|10,2011_09_26_drive_0051_0000000141|2011_09_26_drive_0051_0000000153|2011_09_26_drive_0051_0000000161,0.0,1.0,1.467,0
43,0.0,9,0,,,3,4|6|8,2011_09_26_drive_0056_0000000014|2011_09_26_drive_0056_0000000016|2011_09_26_drive_0056_0000000018,0.0,1.0,1.584,0
45,0.0,13,0,,,3,5|8|11,2011_09_26_drive_0057_0000000334|2011_09_26_drive_0057_0000000337|2011_09_26_drive_0057_0000000340,0.0,1.0,0.368,0
46,0.0,15,0,,,3,1|3|11,2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000026,0.0,1.0,0.761,0
47,0.0,19,0,,,3,12|14|15,2011_09_26_drive_0059_0000000028|2011_09_26_drive_0059_0000000032|2011_09_26_drive_0059_0000000034,0.0,1.0,0.327,0
48,0.0,19,0,,,3,0|1|14,2011_09_26_drive_0059_0000000006|2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000032,0.0,1.0,1.3,0
49,0.0,13,0,,,3,10|11|12,2011_09_26_drive_0059_0000000074|2011_09_26_drive_0059_0000000076|2011_09_26_drive_0059_0000000078,0.0,1.0,1.035,0
50,0.0,13,0,,,3,1|6|7,2011_09_26_drive_0059_0000000056|2011_09_26_drive_0059_0000000066|2011_09_26_drive_0059_0000000068,0.0,1.0,0.891,0
51,0.0,13,0,,,3,2|5|11,2011_09_26_drive_0059_0000000058|2011_09_26_drive_0059_0000000064|2011_09_26_drive_0059_0000000076,0.0,1.0,1.316,0
52,0.0,11,0,,,3,2|3|5,2011_09_26_drive_0059_0000000348|2011_09_26_drive_0059_0000000350|2011_09_26_drive_0059_0000000354,0.0,1.0,3.404,0
54,0.0,13,0,,,3,9|10|12,2011_09_26_drive_0061_0000000177|2011_09_26_drive_0061_0000000178|2011_09_26_drive_0061_0000000180,0.0,1.0,0.426,0
58,0.0,33,0,,,3,1|2|4,2011_09_26_drive_0064_0000000395|2011_09_26_drive_0064_0000000396|2011_09_26_drive_0064_0000000398,0.0,1.0,3.682,0
63,0.0,7,0,,,3,0|4|6,2011_09_26_drive_0070_0000000351|2011_09_26_drive_0070_0000000355|2011_09_26_drive_0070_0000000357,0.0,1.0,2.861,0
64,0.0,10,0,,,3,3|8|9,2011_09_26_drive_0084_0000000136|2011_09_26_drive_0084_0000000141|2011_09_26_drive_0084_0000000142,0.0,1.0,6.516,0
67,0.0,18,0,,,3,2|12|15,2011_09_26_drive_0091_0000000121|2011_09_26_drive_0091_0000000131|2011_09_26_drive_0091_0000000134,0.0,1.0,0.524,0
68,0.0,16,0,,,3,4|5|7,2011_09_26_drive_0091_0000000138|2011_09_26_drive_0091_0000000140|2011_09_26_drive_0091_0000000144,0.0,1.0,5.802,0
69,0.0,10,0,,,3,1|2|9,2011_09_26_drive_0091_0000000324|2011_09_26_drive_0091_0000000326|2011_09_26_drive_0091_0000000339,0.0,1.0,0.669,0
70,0.0,11,0,,,3,2|8|10,2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000141|2011_09_26_drive_0093_0000000143,0.0,1.0,2.789,0
71,0.0,12,0,,,3,3|9|11,2011_09_26_drive_0093_0000000136|2011_09_26_drive_0093_0000000142|2011_09_26_drive_0093_0000000144,0.0,1.0,0.977,0
72,0.0,26,0,,,3,4|21|22,2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000377|2011_09_26_drive_0093_0000000378,0.0,1.0,13.837,0
73,0.0,17,0,,,3,4|7|14,2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000370,0.0,1.0,11.1,0
75,0.0,19,0,,,3,5|11|18,2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000374,0.0,1.0,10.795,0
76,0.0,19,0,,,3,2|5|7,2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000367,0.0,1.0,12.598,0
81,0.0,7,0,,,3,4|5|6,2011_09_26_drive_0101_0000000430|2011_09_26_drive_0101_0000000431|2011_09_26_drive_0101_0000000432,0.0,1.0,1.179,0
84,0.0,8,0,,,3,0|5|6,2011_09_26_drive_0101_0000000744|2011_09_26_drive_0101_0000000749|2011_09_26_drive_0101_0000000750,0.0,1.0,2.476,0
87,0.0,19,0,,,3,16|17|18,2011_09_26_drive_0104_0000000032|2011_09_26_drive_0104_0000000033|2011_09_26_drive_0104_0000000034,0.0,1.0,0.499,0
88,0.0,19,0,,,3,5|12|18,2011_09_26_drive_0104_0000000021|2011_09_26_drive_0104_0000000028|2011_09_26_drive_0104_0000000034,0.0,1.0,0.818,0
89,0.0,12,0,,,3,0|9|11,2011_09_26_drive_0104_0000000016|2011_09_26_drive_0104_0000000025|2011_09_26_drive_0104_0000000027,0.0,1.0,13.582,0
90,0.0,19,0,,,3,8|16|18,2011_09_26_drive_0104_0000000043|2011_09_26_drive_0104_0000000052|2011_09_26_drive_0104_0000000054,0.0,1.0,0.821,0
91,0.0,16,0,,,3,4|5|14,2011_09_26_drive_0104_0000000061|2011_09_26_drive_0104_0000000062|2011_09_26_drive_0104_0000000071,0.0,1.0,0.029,0
93,0.0,14,0,,,3,2|10|11,2011_09_26_drive_0104_0000000198|2011_09_26_drive_0104_0000000206|2011_09_26_drive_0104_0000000207,0.0,1.0,0.431,0
94,0.0,8,0,,,3,2|4|6,2011_09_26_drive_0104_0000000219|2011_09_26_drive_0104_0000000223|2011_09_26_drive_0104_0000000227,0.0,1.0,0.352,0
96,0.0,7,0,,,3,1|5|6,2011_09_26_drive_0104_0000000302|2011_09_26_drive_0104_0000000306|2011_09_26_drive_0104_0000000307,0.0,1.0,0.728,0
97,0.0,13,0,,,3,10|11|12,2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000216,0.0,1.0,2.499,0
98,0.0,18,0,,,3,1|6|16,2011_09_26_drive_0106_0000000205|2011_09_26_drive_0106_0000000210|2011_09_26_drive_0106_0000000223,0.0,1.0,0.82,0
99,0.0,10,0,,,3,2|3|9,2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000225,0.0,1.0,8.586,0
