sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
0,0.0,27,0,,,3,6|7|11,2011_09_26_drive_0005_0000000020|2011_09_26_drive_0005_0000000022|2011_09_26_drive_0005_0000000030,0.0,1.0,1.187,0
1,0.0,9,0,,,3,0|1|2,2011_09_26_drive_0005_0000000044|2011_09_26_drive_0005_0000000046|2011_09_26_drive_0005_0000000048,0.0,1.0,3.026,0
3,0.0,16,0,,,3,0|1|2,2011_09_26_drive_0009_0000000125|2011_09_26_drive_0009_0000000127|2011_09_26_drive_0009_0000000129,0.0,1.0,3.295,0
4,0.0,16,0,,,3,0|1|2,2011_09_26_drive_0009_0000000243|2011_09_26_drive_0009_0000000245|2011_09_26_drive_0009_0000000247,0.0,1.0,1.056,0
7,0.0,10,0,,,3,4|5|8,2011_09_26_drive_0011_0000000057|2011_09_26_drive_0011_0000000058|2011_09_26_drive_0011_0000000061,0.0,1.0,1.203,0
10,0.0,13,0,,,3,0|8|11,2011_09_26_drive_0014_0000000053|2011_09_26_drive_0014_0000000061|2011_09_26_drive_0014_0000000064,0.0,1.0,0.535,0
12,0.0,7,0,,,3,0|2|5,2011_09_26_drive_0014_0000000158|2011_09_26_drive_0014_0000000160|2011_09_26_drive_0014_0000000163,0.0,1.0,0.975,0
13,0.0,11,0,,,3,0|2|3,2011_09_26_drive_0014_0000000259|2011_09_26_drive_0014_0000000261|2011_09_26_drive_0014_0000000262,0.0,1.0,0.826,0
15,0.0,14,0,,,3,7|8|11,2011_09_26_drive_0015_0000000244|2011_09_26_drive_0015_0000000245|2011_09_26_drive_0015_0000000248,0.0,1.0,0.678,0
17,0.0,11,0,,,3,6|7|8,2011_09_26_drive_0018_0000000207|2011_09_26_drive_0018_0000000208|2011_09_26_drive_0018_0000000209,0.0,1.0,0.735,0
18,0.0,17,0,,,3,0|5|12,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000210|2011_09_26_drive_0018_0000000217,0.0,1.0,3.417,0
21,0.0,11,0,,,3,0|2|10,2011_09_26_drive_0028_0000000182|2011_09_26_drive_0028_0000000184|2011_09_26_drive_0028_0000000192,0.0,1.0,3.358,0
24,0.0,8,0,,,3,0|5|7,2011_09_26_drive_0028_0000000400|2011_09_26_drive_0028_0000000405|2011_09_26_drive_0028_0000000407,0.0,1.0,0.584,0
25,0.0,10,0,,,3,3|6|7,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000176|2011_09_26_drive_0029_0000000179,0.0,1.0,1.57,0
26,0.0,10,0,,,3,1|3|9,2011_09_26_drive_0029_0000000166|2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000183,0.0,1.0,3.802,0
27,0.0,10,0,,,3,7|8|9,2011_09_26_drive_0029_0000000179|2011_09_26_drive_0029_0000000181|2011_09_26_drive_0029_0000000183,0.0,1.0,5.204,0
28,0.0,8,0,,,3,0|1|7,2011_09_26_drive_0032_0000000213|2011_09_26_drive_0032_0000000215|2011_09_26_drive_0032_0000000226,0.0,1.0,1.292,0
29,0.0,13,0,,,3,0|11|12,2011_09_26_drive_0032_0000000222|2011_09_26_drive_0032_0000000244|2011_09_26_drive_0032_0000000246,0.0,1.0,1.368,0
30,0.0,11,0,,,3,8|9|10,2011_09_26_drive_0032_0000000269|2011_09_26_drive_0032_0000000270|2011_09_26_drive_0032_0000000271,0.0,1.0,0.472,0
34,0.0,14,0,,,3,1|12|13,2011_09_26_drive_0036_0000000015|2011_09_26_drive_0036_0000000026|2011_09_26_drive_0036_0000000027,0.0,1.0,0.846,0
36,0.0,18,0,,,3,2|5|17,2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000275|2011_09_26_drive_0036_0000000288,0.0,1.0,4.101,0
37,0.0,18,0,,,3,0|2|17,2011_09_26_drive_0036_0000000270|2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000288,0.0,1.0,3.117,0
39,0.0,26,0,,,3,19|22|25,2011_09_26_drive_0046_0000000064|2011_09_26_drive_0046_0000000069|2011_09_26_drive_0046_0000000075,0.0,1.0,2.01,0
40,0.0,7,0,,,3,0|5|6,2011_09_26_drive_0051_0000000115|2011_09_26_drive_0051_0000000124|2011_09_26_drive_0051_0000000126,0.0,1.0,0.536,0
42,0.0,12,0,,,3,0|1|10,2011_09_26_drive_0051_0000000141|2011_09_26_drive_0051_0000000143|2011_09_26_drive_0051_0000000161,0.0,1.0,1.437,0
43,0.0,9,0,,,3,2|6|7,2011_09_26_drive_0056_0000000012|2011_09_26_drive_0056_0000000016|2011_09_26_drive_0056_0000000017,0.0,1.0,1.647,0
45,0.0,13,0,,,3,0|1|11,2011_09_26_drive_0057_0000000328|2011_09_26_drive_0057_0000000330|2011_09_26_drive_0057_0000000340,0.0,1.0,0.369,0
46,0.0,15,0,,,3,1|3|8,2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000020,0.0,1.0,0.819,0
47,0.0,19,0,,,3,3|5|15,2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000015|2011_09_26_drive_0059_0000000034,0.0,1.0,0.049,0
48,0.0,19,0,,,3,0|1|5,2011_09_26_drive_0059_0000000006|2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000015,0.0,1.0,1.153,0
49,0.0,13,0,,,3,7|10|12,2011_09_26_drive_0059_0000000068|2011_09_26_drive_0059_0000000074|2011_09_26_drive_0059_0000000078,0.0,1.0,0.79,0
50,0.0,13,0,,,3,1|6|7,2011_09_26_drive_0059_0000000056|2011_09_26_drive_0059_0000000066|2011_09_26_drive_0059_0000000068,0.0,1.0,0.891,0
51,0.0,13,0,,,3,2|7|9,2011_09_26_drive_0059_0000000058|2011_09_26_drive_0059_0000000068|2011_09_26_drive_0059_0000000072,0.0,1.0,1.189,0
52,0.0,11,0,,,3,2|5|7,2011_09_26_drive_0059_0000000348|2011_09_26_drive_0059_0000000354|2011_09_26_drive_0059_0000000358,0.0,1.0,3.269,0
54,0.0,13,0,,,3,0|8|10,2011_09_26_drive_0061_0000000168|2011_09_26_drive_0061_0000000176|2011_09_26_drive_0061_0000000178,0.0,1.0,0.343,0
58,0.0,33,0,,,3,1|4|32,2011_09_26_drive_0064_0000000395|2011_09_26_drive_0064_0000000398|2011_09_26_drive_0064_0000000426,0.0,1.0,3.779,0
63,0.0,7,0,,,3,0|5|6,2011_09_26_drive_0070_0000000351|2011_09_26_drive_0070_0000000356|2011_09_26_drive_0070_0000000357,0.0,1.0,3.298,0
64,0.0,10,0,,,3,1|3|8,2011_09_26_drive_0084_0000000134|2011_09_26_drive_0084_0000000136|2011_09_26_drive_0084_0000000141,0.0,1.0,6.367,0
67,0.0,18,0,,,3,2|6|12,2011_09_26_drive_0091_0000000121|2011_09_26_drive_0091_0000000125|2011_09_26_drive_0091_0000000131,0.0,1.0,0.414,0
68,0.0,16,0,,,3,4|5|7,2011_09_26_drive_0091_0000000138|2011_09_26_drive_0091_0000000140|2011_09_26_drive_0091_0000000144,0.0,1.0,5.802,0
69,0.0,10,0,,,3,1|5|9,2011_09_26_drive_0091_0000000324|2011_09_26_drive_0091_0000000332|2011_09_26_drive_0091_0000000339,0.0,1.0,0.695,0
70,0.0,11,0,,,3,0|8|10,2011_09_26_drive_0093_0000000133|2011_09_26_drive_0093_0000000141|2011_09_26_drive_0093_0000000143,0.0,1.0,2.927,0
71,0.0,12,0,,,3,0|4|11,2011_09_26_drive_0093_0000000133|2011_09_26_drive_0093_0000000137|2011_09_26_drive_0093_0000000144,0.0,1.0,1.57,0
72,0.0,26,0,,,3,0|4|22,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000378,0.0,1.0,14.927,0
73,0.0,17,0,,,3,2|13|14,2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370,0.0,1.0,10.786,0
75,0.0,19,0,,,3,0|17|18,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374,0.0,1.0,10.777,0
76,0.0,19,0,,,3,0|15|17,2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000375|2011_09_26_drive_0093_0000000377,0.0,1.0,11.12,0
81,0.0,7,0,,,3,4|5|6,2011_09_26_drive_0101_0000000430|2011_09_26_drive_0101_0000000431|2011_09_26_drive_0101_0000000432,0.0,1.0,1.179,0
84,0.0,8,0,,,3,0|6|7,2011_09_26_drive_0101_0000000744|2011_09_26_drive_0101_0000000750|2011_09_26_drive_0101_0000000751,0.0,1.0,2.453,0
87,0.0,19,0,,,3,0|16|18,2011_09_26_drive_0104_0000000016|2011_09_26_drive_0104_0000000032|2011_09_26_drive_0104_0000000034,0.0,1.0,0.67,0
88,0.0,19,0,,,3,5|6|18,2011_09_26_drive_0104_0000000021|2011_09_26_drive_0104_0000000022|2011_09_26_drive_0104_0000000034,0.0,1.0,0.707,0
89,0.0,12,0,,,3,0|8|11,2011_09_26_drive_0104_0000000016|2011_09_26_drive_0104_0000000024|2011_09_26_drive_0104_0000000027,0.0,1.0,13.554,0
90,0.0,19,0,,,3,7|8|18,2011_09_26_drive_0104_0000000042|2011_09_26_drive_0104_0000000043|2011_09_26_drive_0104_0000000054,0.0,1.0,0.777,0
91,0.0,16,0,,,3,0|5|9,2011_09_26_drive_0104_0000000057|2011_09_26_drive_0104_0000000062|2011_09_26_drive_0104_0000000066,0.0,1.0,0.013,0
93,0.0,14,0,,,3,2|4|6,2011_09_26_drive_0104_0000000198|2011_09_26_drive_0104_0000000200|2011_09_26_drive_0104_0000000202,0.0,1.0,0.212,0
94,0.0,8,0,,,3,2|6|7,2011_09_26_drive_0104_0000000219|2011_09_26_drive_0104_0000000227|2011_09_26_drive_0104_0000000229,0.0,1.0,0.274,0
96,0.0,7,0,,,3,0|2|4,2011_09_26_drive_0104_0000000301|2011_09_26_drive_0104_0000000303|2011_09_26_drive_0104_0000000305,0.0,1.0,1.055,0
97,0.0,13,0,,,3,10|11|12,2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000216,0.0,1.0,2.499,0
98,0.0,18,0,,,3,1|13|17,2011_09_26_drive_0106_0000000205|2011_09_26_drive_0106_0000000217|2011_09_26_drive_0106_0000000225,0.0,1.0,0.848,0
99,0.0,10,0,,,3,2|3|9,2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000225,0.0,1.0,8.586,0
102,0.0,11,0,,,3,1|8|10,2011_09_28_drive_0002_0000000035|2011_09_28_drive_0002_0000000049|2011_09_28_drive_0002_0000000053,0.0,1.0,0.301,0
103,0.0,14,0,,,3,2|3|13,2011_09_28_drive_0002_0000000061|2011_09_28_drive_0002_0000000062|2011_09_28_drive_0002_0000000072,0.0,1.0,12.339,0
105,0.0,8,0,,,3,0|2|6,2011_09_29_drive_0026_0000000002|2011_09_29_drive_0026_0000000006|2011_09_29_drive_0026_0000000014,0.0,1.0,0.398,0
106,0.0,8,0,,,3,5|6|7,2011_09_29_drive_0071_0000000169|2011_09_29_drive_0071_0000000171|2011_09_29_drive_0071_0000000173,0.0,1.0,1.423,0
108,0.0,17,0,,,3,1|5|8,2011_09_30_drive_0018_0000000078|2011_09_30_drive_0018_0000000082|2011_09_30_drive_0018_0000000085,0.0,1.0,0.659,0
109,0.0,21,0,,,3,0|1|2,2011_09_30_drive_0018_0000000740|2011_09_30_drive_0018_0000000741|2011_09_30_drive_0018_0000000742,0.0,1.0,0.888,0
111,0.0,21,0,,,3,0|3|9,2011_09_30_drive_0018_0000001484|2011_09_30_drive_0018_0000001487|2011_09_30_drive_0018_0000001493,0.0,1.0,1.061,0
112,0.0,21,0,,,3,0|1|2,2011_09_30_drive_0018_0000002260|2011_09_30_drive_0018_0000002261|2011_09_30_drive_0018_0000002262,0.0,1.0,3.164,0
