magnitude,ratio,method,mae_mean,mae_std,r1m_mean,r2m_mean,detect_precision,detect_recall
5.0,0.0,mean,2.271,0.0,40.83,67.43,,
5.0,0.0,median,2.178,0.0,42.2,67.43,,
5.0,0.0,geometric_median,2.184,0.0,41.74,66.97,,
5.0,0.0,dbscan,2.223,0.0,40.83,67.89,,
5.0,0.0,nsal,2.186,0.0,42.2,67.43,,
5.0,0.0,src,2.188,0.0,41.74,67.43,,
5.0,0.0,l1_sor,2.187,0.0,42.2,68.35,,
5.0,0.0,omp,2.215,0.031,41.13,67.58,,
5.0,0.0,cosamp,2.182,0.028,42.66,67.89,,
5.0,0.0,sp,2.182,0.015,39.91,67.58,,
5.0,0.0,uspa,2.221,0.0,43.12,66.97,,
5.0,0.1,mean,2.312,0.005,37.31,66.97,,
5.0,0.1,median,2.197,0.005,41.28,67.28,,
5.0,0.1,geometric_median,2.191,0.008,41.9,67.58,,
5.0,0.1,dbscan,2.259,0.01,37.92,66.82,,
5.0,0.1,nsal,2.197,0.006,41.44,67.58,,
5.0,0.1,src,2.215,0.003,39.91,66.97,0.645,0.978
5.0,0.1,l1_sor,2.208,0.004,40.37,67.13,0.618,0.982
5.0,0.1,omp,2.233,0.021,39.76,67.28,0.327,0.806
5.0,0.1,cosamp,2.187,0.011,42.35,67.28,0.359,0.884
5.0,0.1,sp,2.189,0.014,41.28,68.35,0.351,0.865
5.0,0.1,uspa,2.223,0.008,41.9,66.82,,
5.0,0.2,mean,2.335,0.022,35.63,66.06,,
5.0,0.2,median,2.21,0.016,40.52,66.36,,
5.0,0.2,geometric_median,2.195,0.008,40.37,67.89,,
5.0,0.2,dbscan,2.298,0.022,35.93,66.82,,
5.0,0.2,nsal,2.22,0.015,40.21,66.82,,
5.0,0.2,src,2.226,0.019,38.99,66.67,0.733,0.981
5.0,0.2,l1_sor,2.209,0.015,39.76,66.97,0.705,0.984
5.0,0.2,omp,2.265,0.022,38.23,66.67,0.552,0.733
5.0,0.2,cosamp,2.203,0.011,39.6,67.28,0.631,0.833
5.0,0.2,sp,2.223,0.02,39.91,66.67,0.609,0.806
5.0,0.2,uspa,2.249,0.019,40.98,67.43,,
5.0,0.3,mean,2.358,0.008,34.4,64.22,,
5.0,0.3,median,2.229,0.012,38.99,65.75,,
5.0,0.3,geometric_median,2.212,0.006,40.21,67.28,,
5.0,0.3,dbscan,2.273,0.027,34.25,64.53,,
5.0,0.3,nsal,2.248,0.013,39.14,65.9,,
5.0,0.3,src,2.256,0.017,37.16,65.44,0.797,0.977
5.0,0.3,l1_sor,2.238,0.01,38.23,66.36,0.778,0.984
5.0,0.3,omp,2.312,0.027,36.85,66.06,0.682,0.632
5.0,0.3,cosamp,2.245,0.029,38.69,66.82,0.796,0.744
5.0,0.3,sp,2.254,0.035,37.92,67.28,0.77,0.722
5.0,0.3,uspa,2.271,0.017,39.3,66.06,,
5.0,0.4,mean,2.381,0.029,33.49,65.29,,
5.0,0.4,median,2.224,0.017,40.98,66.51,,
5.0,0.4,geometric_median,2.212,0.011,40.98,67.13,,
5.0,0.4,dbscan,2.321,0.025,33.94,65.29,,
5.0,0.4,nsal,2.261,0.024,38.23,66.51,,
5.0,0.4,src,2.268,0.028,37.31,66.21,0.834,0.972
5.0,0.4,l1_sor,2.243,0.024,37.61,65.75,0.823,0.98
5.0,0.4,omp,2.35,0.06,31.65,64.53,0.751,0.517
5.0,0.4,cosamp,2.267,0.02,37.16,65.9,0.878,0.615
5.0,0.4,sp,2.292,0.043,35.32,65.9,0.853,0.594
5.0,0.4,uspa,2.287,0.023,38.07,66.97,,
10.0,0.0,mean,2.271,0.0,40.83,67.43,,
10.0,0.0,median,2.178,0.0,42.2,67.43,,
10.0,0.0,geometric_median,2.184,0.0,41.74,66.97,,
10.0,0.0,dbscan,2.223,0.0,40.83,67.89,,
10.0,0.0,nsal,2.186,0.0,42.2,67.43,,
10.0,0.0,src,2.188,0.0,41.74,67.43,,
10.0,0.0,l1_sor,2.187,0.0,42.2,68.35,,
10.0,0.0,omp,2.215,0.031,41.13,67.58,,
10.0,0.0,cosamp,2.182,0.028,42.66,67.89,,
10.0,0.0,sp,2.182,0.015,39.91,67.58,,
10.0,0.0,uspa,2.221,0.0,43.12,66.97,,
10.0,0.1,mean,2.415,0.014,30.28,64.83,,
10.0,0.1,median,2.205,0.002,41.28,67.28,,
10.0,0.1,geometric_median,2.2,0.009,41.28,67.58,,
10.0,0.1,dbscan,2.228,0.021,39.91,67.89,,
10.0,0.1,nsal,2.194,0.01,40.98,68.04,,
10.0,0.1,src,2.222,0.001,39.6,67.13,0.651,0.995
10.0,0.1,l1_sor,2.215,0.004,40.21,67.13,0.621,0.995
10.0,0.1,omp,2.252,0.027,39.91,67.43,0.383,0.923
10.0,0.1,cosamp,2.205,0.026,41.74,67.43,0.398,0.957
10.0,0.1,sp,2.205,0.013,41.9,67.43,0.396,0.951
10.0,0.1,uspa,2.22,0.01,41.59,66.82,,
10.0,0.2,mean,2.507,0.032,27.98,61.01,,
10.0,0.2,median,2.215,0.015,40.52,66.36,,
10.0,0.2,geometric_median,2.192,0.011,40.67,67.74,,
10.0,0.2,dbscan,2.265,0.044,40.21,67.74,,
10.0,0.2,nsal,2.224,0.021,40.52,67.28,,
10.0,0.2,src,2.237,0.022,38.07,66.67,0.733,0.998
10.0,0.2,l1_sor,2.211,0.016,39.3,66.82,0.709,1.0
10.0,0.2,omp,2.316,0.051,38.07,64.83,0.653,0.854
10.0,0.2,cosamp,2.227,0.02,39.3,67.89,0.704,0.912
10.0,0.2,sp,2.233,0.03,39.14,67.58,0.698,0.905
10.0,0.2,uspa,2.252,0.022,40.37,67.58,,
10.0,0.3,mean,2.575,0.01,22.48,58.26,,
10.0,0.3,median,2.225,0.013,39.3,66.36,,
10.0,0.3,geometric_median,2.216,0.005,40.06,66.97,,
10.0,0.3,dbscan,2.243,0.046,40.37,67.43,,
10.0,0.3,nsal,2.261,0.015,37.92,65.75,,
10.0,0.3,src,2.275,0.008,36.09,65.75,0.795,0.997
10.0,0.3,l1_sor,2.247,0.0,37.61,66.21,0.78,0.997
10.0,0.3,omp,2.422,0.022,31.19,62.23,0.773,0.711
10.0,0.3,cosamp,2.286,0.007,36.39,66.36,0.873,0.806
10.0,0.3,sp,2.338,0.031,33.64,65.6,0.847,0.784
10.0,0.3,uspa,2.283,0.026,38.99,66.36,,
10.0,0.4,mean,2.657,0.036,21.25,53.82,,
10.0,0.4,median,2.248,0.036,40.06,66.67,,
10.0,0.4,geometric_median,2.232,0.018,40.67,66.67,,
10.0,0.4,dbscan,2.247,0.038,40.83,66.97,,
10.0,0.4,nsal,2.321,0.029,34.56,66.06,,
10.0,0.4,src,2.311,0.034,35.63,65.44,0.832,0.996
10.0,0.4,l1_sor,2.27,0.029,37.16,65.75,0.825,0.997
10.0,0.4,omp,2.61,0.103,21.87,56.27,0.819,0.562
10.0,0.4,cosamp,2.453,0.04,28.75,60.86,0.946,0.659
10.0,0.4,sp,2.487,0.024,26.91,59.94,0.908,0.631
10.0,0.4,uspa,2.354,0.022,34.71,66.21,,
20.0,0.0,mean,2.271,0.0,40.83,67.43,,
20.0,0.0,median,2.178,0.0,42.2,67.43,,
