method,m,s,exact_recovery,support_precision,support_recall,l_err_mean
omp,4,1,0.73,0.73,0.73,0.8771
omp,8,1,0.99,0.99,0.99,0.1537
omp,12,1,1.0,1.0,1.0,0.1184
omp,16,1,0.99,0.99,0.99,0.1041
omp,4,2,0.61,0.745,0.745,2.1108
omp,8,2,0.95,0.965,0.965,0.2486
omp,12,2,0.97,0.985,0.985,0.1359
omp,16,2,0.99,0.99,0.99,0.1079
omp,4,3,0.28,0.76,0.76,5.8598
omp,8,3,0.63,0.823,0.823,0.8673
omp,12,3,0.92,0.963,0.963,0.1954
omp,16,3,0.91,0.96,0.96,0.1726
cosamp,4,1,1.0,1.0,1.0,0.2084
cosamp,8,1,1.0,1.0,1.0,0.1459
cosamp,12,1,1.0,1.0,1.0,0.1184
cosamp,16,1,1.0,1.0,1.0,0.0993
cosamp,4,2,0.82,0.91,0.91,0.9307
cosamp,8,2,1.0,1.0,1.0,0.1642
cosamp,12,2,1.0,1.0,1.0,0.1178
cosamp,16,2,1.0,1.0,1.0,0.0985
cosamp,4,3,0.75,0.917,0.917,2.2771
cosamp,8,3,1.0,1.0,1.0,0.1429
cosamp,12,3,1.0,1.0,1.0,0.1267
cosamp,16,3,1.0,1.0,1.0,0.1082
sp,4,1,0.95,0.95,0.95,0.3259
sp,8,1,0.99,0.99,0.99,0.1537
sp,12,1,1.0,1.0,1.0,0.1184
sp,16,1,0.99,0.99,0.99,0.1041
sp,4,2,0.82,0.91,0.91,0.9307
sp,8,2,0.99,0.995,0.995,0.1774
sp,12,2,1.0,1.0,1.0,0.1178
sp,16,2,1.0,1.0,1.0,0.0985
sp,4,3,0.54,0.847,0.847,3.8959
sp,8,3,0.98,0.98,0.98,0.1989
sp,12,3,1.0,1.0,1.0,0.1267
sp,16,3,0.99,0.993,0.993,0.1197
l1_sor,4,1,1.0,1.0,1.0,0.5323
l1_sor,8,1,1.0,1.0,1.0,0.2309
l1_sor,12,1,1.0,1.0,1.0,0.1807
l1_sor,16,1,1.0,1.0,1.0,0.1289
l1_sor,4,2,0.73,0.892,1.0,1.1166
l1_sor,8,2,1.0,1.0,1.0,0.3553
l1_sor,12,2,1.0,1.0,1.0,0.2243
l1_sor,16,2,1.0,1.0,1.0,0.167
l1_sor,4,3,0.35,0.812,0.917,3.4511
l1_sor,8,3,0.98,0.995,1.0,0.4571
l1_sor,12,3,1.0,1.0,1.0,0.2701
l1_sor,16,3,1.0,1.0,1.0,0.1979
