Method,MAE(m),RMSE(m),R@1m(%),R@2m(%),N_signs,Time(s)
AutoTS w/o MinCut,2.36,3.52,38.18,62.55,275,0.06
AutoTS w/o Weight,2.41,3.59,37.82,61.45,275,0.06
AutoTS-K-Means,2.43,3.59,37.45,61.82,275,0.64
AutoTS-DBSCAN,2.22,3.19,37.45,62.55,275,0.21
AutoTS (ours),2.36,3.53,38.55,62.55,275,0.07
AutoTS-K-Means*,2.31,3.24,35.94,58.59,128,0.28
AutoTS-DBSCAN*,2.28,3.20,35.94,59.38,128,0.06
AutoTS*,2.28,3.18,35.94,59.38,128,0.02

--- Paper Reference ---
AutoTS w/o MinCut (paper),2.51,3.74,27.11,50.87,,
AutoTS w/o Weight (paper),2.49,3.72,28.81,49.15,,
AutoTS-K-Means (paper),2.56,3.82,27.11,47.46,,
AutoTS-DBSCAN (paper),2.48,3.79,28.81,52.54,,
AutoTS (ours) (paper),2.38,3.42,30.51,54.23,,
AutoTS-K-Means* (paper),2.46,3.52,28.81,52.54,,
AutoTS-DBSCAN* (paper),2.42,3.48,30.51,52.54,,
AutoTS* (paper),2.36,3.37,32.2,54.23,,
